timestamp(ms),GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon
-124.949951171875,30.3240517,-97.6037897
-24.949951171875,30.3240518,-97.6037895
75.050048828125,30.3240518,-97.6037895
175.050048828125,30.3240518,-97.6037895
275.050048828125,30.3240518,-97.6037895
375.050048828125,30.3240518,-97.6037893
475.050048828125,30.3240518,-97.6037893
575.050048828125,30.3240518,-97.6037893
675.050048828125,30.3240518,-97.6037893
775.050048828125,30.3240518,-97.6037893
875.050048828125,30.3240521,-97.6037889
975.050048828125,30.3240521,-97.6037889
1075.050048828125,30.3240521,-97.6037889
1175.050048828125,30.3240521,-97.6037889
1275.050048828125,30.3240521,-97.6037889
1375.050048828125,30.3240521,-97.6037889
1475.050048828125,30.3240523,-97.6037887
1575.050048828125,30.3240523,-97.6037887
1675.050048828125,30.3240523,-97.6037887
1775.050048828125,30.3240523,-97.6037887
1875.050048828125,30.3240523,-97.6037887
1975.050048828125,30.3240525,-97.6037884
2075.050048828125,30.3240525,-97.6037884
2175.050048828125,30.3240525,-97.6037884
2275.050048828125,30.3240525,-97.6037884
2375.050048828125,30.3240527,-97.6037881
2475.050048828125,30.3240527,-97.6037881
2575.050048828125,30.3240527,-97.6037881
2675.050048828125,30.3240527,-97.6037881
2775.050048828125,30.3240527,-97.6037881
2875.050048828125,30.3240529,-97.6037878
2975.050048828125,30.3240529,-97.6037878
3075.050048828125,30.3240529,-97.6037878
3175.050048828125,30.3240529,-97.6037878
3275.050048828125,30.3240529,-97.6037878
3375.050048828125,30.3240529,-97.6037878
3475.050048828125,30.3240531,-97.6037875
3575.050048828125,30.3240531,-97.6037875
3675.050048828125,30.3240531,-97.6037875
3775.050048828125,30.3240531,-97.6037875
3875.050048828125,30.3240531,-97.6037875
3975.050048828125,30.3240541,-97.6037863
4075.050048828125,30.3240541,-97.6037863
4175.050048828125,30.3240541,-97.6037863
4275.050048828125,30.3240541,-97.6037863
4375.050048828125,30.3240541,-97.6037863
4475.050048828125,30.3240541,-97.6037863
4575.050048828125,30.3240541,-97.6037863
4675.050048828125,30.3240541,-97.6037863
4775.050048828125,30.3240541,-97.6037863
4875.050048828125,30.3240541,-97.6037863
4975.050048828125,30.3240541,-97.6037863
5075.050048828125,30.3240541,-97.6037863
5175.050048828125,30.3240541,-97.6037863
5275.050048828125,30.3240541,-97.6037863
5375.050048828125,30.3240541,-97.6037863
5475.050048828125,30.3240541,-97.6037863
5575.050048828125,30.3240541,-97.6037863
5675.050048828125,30.3240541,-97.6037863
5775.050048828125,30.3240541,-97.6037863
5875.050048828125,30.3240541,-97.6037863
5975.050048828125,30.3240556,-97.6037846
6075.050048828125,30.3240556,-97.6037846
6175.050048828125,30.3240556,-97.6037846
6275.050048828125,30.3240556,-97.6037846
6375.050048828125,30.3240556,-97.6037846
6475.050048828125,30.3240556,-97.6037846
6575.050048828125,30.3240556,-97.6037846
6675.050048828125,30.3240556,-97.6037846
6775.050048828125,30.3240556,-97.6037846
6875.050048828125,30.3240556,-97.6037846
6975.050048828125,30.3240556,-97.6037846
7075.050048828125,30.3240556,-97.6037846
7175.050048828125,30.3240556,-97.6037846
7275.050048828125,30.3240556,-97.6037846
7375.050048828125,30.3240556,-97.6037846
7475.050048828125,30.3240556,-97.6037846
7575.050048828125,30.3240556,-97.6037846
7675.050048828125,30.3240556,-97.6037846
7775.050048828125,30.3240556,-97.6037846
7875.050048828125,30.3240566,-97.6037831
7975.050048828125,30.3240566,-97.6037831
8075.050048828125,30.3240566,-97.6037831
8175.050048828125,30.3240566,-97.6037831
8275.050048828125,30.3240566,-97.6037831
8375.050048828125,30.3240566,-97.6037831
8475.050048828125,30.3240566,-97.6037831
8575.050048828125,30.3240566,-97.6037831
8675.050048828125,30.3240566,-97.6037831
8775.050048828125,30.3240566,-97.6037831
8875.050048828125,30.3240566,-97.6037831
8975.050048828125,30.3240566,-97.6037831
9075.050048828125,30.3240566,-97.6037831
9175.050048828125,30.3240566,-97.6037831
9275.050048828125,30.3240566,-97.6037831
9375.050048828125,30.3240566,-97.6037831
9475.050048828125,30.3240566,-97.6037831
9575.050048828125,30.3240566,-97.6037831
9675.050048828125,30.3240566,-97.6037831
9775.050048828125,30.3240566,-97.6037831
9875.050048828125,30.3240566,-97.6037831
9975.050048828125,30.3240571,-97.6037824
10075.050048828125,30.3240571,-97.6037824
10175.050048828125,30.3240571,-97.6037824
10275.050048828125,30.3240571,-97.6037824
10375.050048828125,30.3240571,-97.6037824
10475.050048828125,30.3240571,-97.6037824
10575.050048828125,30.3240571,-97.6037824
10675.050048828125,30.3240571,-97.6037824
10775.050048828125,30.3240571,-97.6037824
10875.050048828125,30.3240571,-97.6037824
10975.050048828125,30.3240571,-97.6037824
11075.050048828125,30.3240571,-97.6037824
11175.050048828125,30.3240571,-97.6037824
11275.050048828125,30.3240571,-97.6037824
11375.050048828125,30.3240571,-97.6037824
11475.050048828125,30.3240571,-97.6037824
11575.050048828125,30.3240571,-97.6037824
11675.050048828125,30.3240571,-97.6037824
11775.050048828125,30.3240571,-97.6037824
11875.050048828125,30.3240573,-97.6037814
11975.050048828125,30.3240573,-97.6037814
12075.050048828125,30.3240573,-97.6037814
12175.050048828125,30.3240573,-97.6037814
12275.050048828125,30.3240573,-97.6037814
12375.050048828125,30.3240573,-97.6037814
12475.050048828125,30.3240573,-97.6037814
12575.050048828125,30.3240573,-97.6037814
12675.050048828125,30.3240573,-97.6037814
12775.050048828125,30.3240573,-97.6037814
12875.050048828125,30.3240573,-97.6037814
